game_id,date,home_team,away_team,home_team_id,away_team_id,home_pitcher_id,away_pitcher_id,home_score,away_score,home_win
778249,2025-04-20,Atlanta Braves,Minnesota Twins,144,142,656550.0,657746.0,6,2,1
778245,2025-04-20,Boston Red Sox,Chicago White Sox,111,145,656557.0,680732.0,4,8,0
778248,2025-04-20,Philadelphia Phillies,Miami Marlins,143,146,666200.0,687362.0,5,7,0
778241,2025-04-20,Toronto Blue Jays,Seattle Mariners,141,136,687922.0,622491.0,3,8,0
778246,2025-04-20,Detroit Tigers,Kansas City Royals,116,118,669373.0,608379.0,3,4,0
778244,2025-04-20,New York Mets,St. Louis Cardinals,121,138,605280.0,543243.0,7,4,1
778240,2025-04-20,Tampa Bay Rays,New York Yankees,139,147,686752.0,608331.0,0,4,0
778239,2025-04-20,Milwaukee Brewers,Athletics,158,133,701656.0,605488.0,14,1,1
778236,2025-04-20,Chicago Cubs,Arizona Diamondbacks,112,109,592791.0,518876.0,2,3,0
778234,2025-04-20,Texas Rangers,Los Angeles Dodgers,140,119,641816.0,607192.0,0,1,0
778235,2025-04-20,Colorado Rockies,Washington Nationals,115,120,607536.0,663623.0,2,3,0
778232,2025-04-20,Los Angeles Angels,San Francisco Giants,108,137,579328.0,434378.0,5,4,1
778237,2025-04-20,Houston Astros,San Diego Padres,117,135,664285.0,656302.0,2,3,0
778238,2025-04-21,Boston Red Sox,Chicago White Sox,111,145,621111.0,686563.0,4,2,1
778227,2025-04-21,Cleveland Guardians,New York Yankees,114,147,668909.0,657376.0,6,4,1
778228,2025-04-21,Detroit Tigers,San Diego Padres,116,135,672456.0,681190.0,6,4,1
778230,2025-04-21,Miami Marlins,Cincinnati Reds,146,113,676974.0,666157.0,6,3,1
778225,2025-04-21,New York Mets,Philadelphia Phillies,121,143,656731.0,605400.0,5,4,1
778233,2025-04-21,Atlanta Braves,St. Louis Cardinals,144,138,680885.0,607200.0,7,6,1
778231,2025-04-21,Houston Astros,Toronto Blue Jays,117,141,686613.0,592332.0,7,0,1
778226,2025-04-21,San Francisco Giants,Milwaukee Brewers,137,158,592662.0,682990.0,5,2,1
778218,2025-04-22,Cleveland Guardians,New York Yankees,114,147,676440.0,701542.0,3,2,1
778221,2025-04-22,Detroit Tigers,San Diego Padres,116,135,656427.0,601713.0,0,2,0
778219,2025-04-22,Miami Marlins,Cincinnati Reds,146,113,665795.0,607259.0,4,3,1
778222,2025-04-22,Washington Nationals,Baltimore Orioles,120,110,680730.0,665152.0,7,0,1
778224,2025-04-22,Boston Red Sox,Seattle Mariners,111,136,678394.0,682243.0,8,3,1
778223,2025-04-22,New York Mets,Philadelphia Phillies,121,143,656288.0,650911.0,5,1,1
778229,2025-04-22,Atlanta Braves,St. Louis Cardinals,144,138,656240.0,669467.0,4,10,0
778215,2025-04-22,Kansas City Royals,Colorado Rockies,118,115,663460.0,663372.0,4,3,1
778220,2025-04-22,Chicago Cubs,Los Angeles Dodgers,112,119,684007.0,669160.0,11,10,1
778216,2025-04-22,Minnesota Twins,Chicago White Sox,142,145,641927.0,663436.0,4,2,1
778217,2025-04-22,Houston Astros,Toronto Blue Jays,117,141,669854.0,605135.0,5,1,1
778211,2025-04-22,Los Angeles Angels,Pittsburgh Pirates,108,134,667755.0,663559.0,3,9,0
778212,2025-04-22,Arizona Diamondbacks,Tampa Bay Rays,109,139,694297.0,641793.0,5,1,1
778210,2025-04-22,San Francisco Giants,Milwaukee Brewers,137,158,663855.0,500779.0,3,11,0
778213,2025-04-22,Athletics,Texas Rangers,133,140,674370.0,571578.0,5,8,0
778214,2025-04-23,Atlanta Braves,St. Louis Cardinals,144,138,693821.0,571945.0,4,1,1
778209,2025-04-23,Detroit Tigers,San Diego Padres,116,135,681857.0,606996.0,6,0,1
778203,2025-04-23,New York Mets,Philadelphia Phillies,121,143,656849.0,554430.0,4,3,1
778208,2025-04-23,Miami Marlins,Cincinnati Reds,146,113,645261.0,663903.0,2,5,0
778206,2025-04-23,Cleveland Guardians,New York Yankees,114,147,682847.0,607074.0,1,5,0
778204,2025-04-23,Washington Nationals,Baltimore Orioles,120,110,592866.0,608372.0,4,3,1
778207,2025-04-23,Boston Red Sox,Seattle Mariners,111,136,656794.0,676106.0,5,8,0
778205,2025-04-23,Chicago Cubs,Los Angeles Dodgers,112,119,571510.0,676508.0,7,6,1
778200,2025-04-23,Houston Astros,Toronto Blue Jays,117,141,687473.0,670102.0,3,1,1
778201,2025-04-23,Minnesota Twins,Chicago White Sox,142,145,701581.0,669060.0,6,3,1
778202,2025-04-23,Los Angeles Angels,Pittsburgh Pirates,108,134,686799.0,571760.0,0,3,0
778199,2025-04-23,Arizona Diamondbacks,Tampa Bay Rays,109,139,593958.0,671737.0,6,7,0
778198,2025-04-23,San Francisco Giants,Milwaukee Brewers,137,158,657277.0,642547.0,4,2,1
778197,2025-04-23,Athletics,Texas Rangers,133,140,676664.0,677958.0,5,2,1
778189,2025-04-24,Minnesota Twins,Chicago White Sox,142,145,663978.0,681343.0,0,3,0
778196,2025-04-24,Boston Red Sox,Seattle Mariners,111,136,676979.0,693433.0,3,4,0
778190,2025-04-24,Kansas City Royals,Colorado Rockies,118,115,666142.0,608566.0,7,4,1
778194,2025-04-24,San Francisco Giants,Milwaukee Brewers,137,158,694738.0,668964.0,6,5,1
778193,2025-04-24,Washington Nationals,Baltimore Orioles,120,110,669022.0,700249.0,1,2,0
778191,2025-04-24,Los Angeles Angels,Pittsburgh Pirates,108,134,542881.0,669387.0,4,3,1
778188,2025-04-24,Arizona Diamondbacks,Tampa Bay Rays,109,139,669203.0,656876.0,4,7,0
778192,2025-04-24,Athletics,Texas Rangers,133,140,669372.0,594798.0,4,3,1
778182,2025-04-25,Chicago Cubs,Philadelphia Phillies,112,143,607067.0,592836.0,4,0,1
778183,2025-04-25,Washington Nationals,New York Mets,120,121,663623.0,673540.0,5,4,1
778185,2025-04-25,New York Yankees,Toronto Blue Jays,147,141,471911.0,621244.0,2,4,0
778187,2025-04-25,Kansas City Royals,Houston Astros,118,117,607625.0,669713.0,2,0,1
778186,2025-04-25,Minnesota Twins,Los Angeles Angels,142,108,641154.0,543294.0,11,4,1
778184,2025-04-25,St. Louis Cardinals,Milwaukee Brewers,138,158,669461.0,694477.0,3,2,1
778181,2025-04-25,Colorado Rockies,Cincinnati Reds,115,113,607536.0,671096.0,7,8,0
778172,2025-04-25,San Diego Padres,Tampa Bay Rays,135,139,650633.0,669358.0,0,1,0
778177,2025-04-25,Arizona Diamondbacks,Atlanta Braves,109,144,668678.0,519242.0,2,8,0
778175,2025-04-25,Seattle Mariners,Miami Marlins,136,146,669302.0,615698.0,4,8,0
778178,2025-04-25,Athletics,Chicago White Sox,133,145,622663.0,656457.0,6,5,1
778176,2025-04-25,Los Angeles Dodgers,Pittsburgh Pirates,119,134,808967.0,694973.0,0,3,0
778171,2025-04-25,San Francisco Giants,Texas Rangers,137,140,434378.0,543135.0,0,2,0
778169,2025-04-26,Cleveland Guardians,Boston Red Sox,114,111,680951.0,621111.0,3,7,0
778168,2025-04-26,Detroit Tigers,Baltimore Orioles,116,110,663554.0,687064.0,4,3,1
778166,2025-04-26,Minnesota Twins,Los Angeles Angels,142,108,680573.0,579328.0,5,1,1
778164,2025-04-26,St. Louis Cardinals,Milwaukee Brewers,138,158,543243.0,682990.0,6,5,1
778161,2025-04-26,Colorado Rockies,Cincinnati Reds,115,113,622608.0,668881.0,4,6,0
778173,2025-04-26,Washington Nationals,New York Mets,120,121,695418.0,605280.0,0,2,0
778159,2025-04-26,San Francisco Giants,Texas Rangers,137,140,592662.0,641816.0,3,2,1
778174,2025-04-26,Chicago Cubs,Philadelphia Phillies,112,143,676962.0,666200.0,4,10,0
778165,2025-04-26,Athletics,Chicago White Sox,133,145,605488.0,656457.0,3,10,0
778167,2025-04-26,Kansas City Royals,Houston Astros,118,117,608379.0,664285.0,2,0,1
778162,2025-04-26,Arizona Diamondbacks,Atlanta Braves,109,144,518876.0,656550.0,7,8,0
778160,2025-04-26,San Diego Padres,Tampa Bay Rays,135,139,656302.0,686752.0,1,4,0
778163,2025-04-26,Los Angeles Dodgers,Pittsburgh Pirates,119,134,808963.0,656605.0,8,4,1
778154,2025-04-26,Seattle Mariners,Miami Marlins,136,146,622491.0,687362.0,14,0,1
778153,2025-04-27,Washington Nationals,New York Mets,120,121,680730.0,656731.0,8,7,1
778156,2025-04-27,New York Yankees,Toronto Blue Jays,147,141,608331.0,592332.0,11,2,1
778157,2025-04-27,Cleveland Guardians,Boston Red Sox,114,111,671106.0,678394.0,3,13,0
778155,2025-04-27,Detroit Tigers,Baltimore Orioles,116,110,669373.0,665152.0,7,0,1
778144,2025-04-27,Minnesota Twins,Los Angeles Angels,142,108,657746.0,667755.0,5,0,1
778152,2025-04-27,Kansas City Royals,Houston Astros,118,117,663460.0,686613.0,3,7,0
778150,2025-04-27,St. Louis Cardinals,Milwaukee Brewers,138,158,607200.0,500779.0,1,7,0
778148,2025-04-27,Colorado Rockies,Cincinnati Reds,115,113,687134.0,666157.0,1,8,0
778151,2025-04-27,San Francisco Giants,Texas Rangers,137,140,663855.0,683004.0,3,2,1
778149,2025-04-27,Athletics,Chicago White Sox,133,145,674370.0,685126.0,3,2,1
778145,2025-04-27,Los Angeles Dodgers,Pittsburgh Pirates,119,134,607192.0,663559.0,9,2,1
778146,2025-04-27,San Diego Padres,Tampa Bay Rays,135,139,681190.0,641793.0,2,4,0
778147,2025-04-27,Arizona Diamondbacks,Atlanta Braves,109,144,694297.0,680885.0,6,4,1
778136,2025-04-27,Seattle Mariners,Miami Marlins,136,146,688138.0,676974.0,7,6,1
778158,2025-04-27,Chicago Cubs,Philadelphia Phillies,112,143,592791.0,605400.0,1,3,0
778138,2025-04-28,Washington Nationals,New York Mets,120,121,592866.0,656288.0,5,19,0
778139,2025-04-28,Cleveland Guardians,Minnesota Twins,114,142,668909.0,641927.0,1,11,0
778140,2025-04-28,Baltimore Orioles,New York Yankees,110,147,608372.0,701542.0,4,3,1
778141,2025-04-28,Cincinnati Reds,St. Louis Cardinals,113,138,607259.0,669467.0,3,1,1
778143,2025-04-28,Texas Rangers,Athletics,140,133,571578.0,676664.0,1,2,0
778142,2025-04-28,Houston Astros,Detroit Tigers,117,116,669854.0,656427.0,8,5,1
778137,2025-04-28,Colorado Rockies,Atlanta Braves,115,144,663372.0,693821.0,3,6,0
778132,2025-04-28,Los Angeles Dodgers,Miami Marlins,119,146,669160.0,665795.0,7,6,1
778129,2025-04-29,Cleveland Guardians,Minnesota Twins,114,142,676440.0,663978.0,2,1,1
778133,2025-04-29,Baltimore Orioles,New York Yankees,110,147,502043.0,607074.0,3,15,0
778135,2025-04-29,Pittsburgh Pirates,Chicago Cubs,134,112,571760.0,684007.0,0,9,0
778131,2025-04-29,Philadelphia Phillies,Washington Nationals,143,120,554430.0,669022.0,7,6,1
778128,2025-04-29,Tampa Bay Rays,Kansas City Royals,139,118,671737.0,547179.0,1,3,0
778127,2025-04-29,Toronto Blue Jays,Boston Red Sox,141,111,670102.0,676979.0,2,10,0
778130,2025-04-29,New York Mets,Arizona Diamondbacks,121,109,656849.0,593958.0,8,3,1
778125,2025-04-29,Chicago White Sox,Milwaukee Brewers,145,158,669060.0,642547.0,2,7,0
778122,2025-04-29,Texas Rangers,Athletics,140,133,594798.0,682052.0,15,2,1
778124,2025-04-29,Houston Astros,Detroit Tigers,117,116,687473.0,681857.0,6,4,1
778120,2025-04-29,Colorado Rockies,Atlanta Braves,115,144,608566.0,700363.0,2,8,0
778121,2025-04-29,Seattle Mariners,Los Angeles Angels,136,108,682243.0,686799.0,5,3,1
778126,2025-04-29,San Diego Padres,San Francisco Giants,135,137,601713.0,657277.0,7,4,1
778123,2025-04-29,Los Angeles Dodgers,Miami Marlins,119,146,,645261.0,15,2,1
778119,2025-04-30,Cincinnati Reds,St. Louis Cardinals,113,138,695534.0,571927.0,1,9,0
778110,2025-04-30,Houston Astros,Detroit Tigers,117,116,805123.0,695549.0,4,7,0
778102,2025-04-30,Colorado Rockies,Atlanta Braves,115,144,801403.0,519242.0,2,1,1
778109,2025-04-30,Los Angeles Dodgers,Miami Marlins,119,146,664062.0,615698.0,12,7,1
