game_id,date,home_score,away_score,home_win
776451,2025-09-05,1,7,0
776446,2025-09-05,2,1,1
776449,2025-09-05,4,3,1
776445,2025-09-05,2,8,0
776442,2025-09-05,3,0,1
776444,2025-09-05,4,10,0
776448,2025-09-05,10,5,1
776436,2025-09-06,3,1,1
776440,2025-09-06,1,2,0
776433,2025-09-06,2,4,0
776435,2025-09-06,6,0,1
776439,2025-09-06,6,3,1
776441,2025-09-06,1,4,0
776443,2025-09-06,4,3,1
776438,2025-09-06,2,3,0
776437,2025-09-06,3,2,1
776432,2025-09-06,0,11,0
776434,2025-09-06,11,2,1
776447,2025-09-06,2,10,0
776424,2025-09-06,5,1,1
776431,2025-09-06,8,10,0
776430,2025-09-06,4,17,0
776428,2025-09-07,2,18,0
776421,2025-09-07,1,2,0
776427,2025-09-07,2,5,0
776423,2025-09-07,4,3,1
776419,2025-09-07,2,10,0
776429,2025-09-07,3,2,1
776425,2025-09-07,4,6,0
776426,2025-09-07,5,4,1
776422,2025-09-07,1,5,0
776416,2025-09-07,4,3,1
776420,2025-09-07,3,6,0
776418,2025-09-07,4,2,1
776417,2025-09-07,1,8,0
776414,2025-09-07,4,3,1
776415,2025-09-07,4,7,0
776413,2025-09-08,10,2,1
776409,2025-09-08,7,15,0
776405,2025-09-08,1,0,1
776412,2025-09-08,4,1,1
776406,2025-09-08,5,0,1
776411,2025-09-08,3,12,0
776407,2025-09-08,4,3,1
776400,2025-09-08,4,2,1
776399,2025-09-08,11,5,1
776410,2025-09-08,0,7,0
776408,2025-09-08,3,1,1
776401,2025-09-09,3,2,1
776403,2025-09-09,2,0,1
776397,2025-09-09,5,7,0
776404,2025-09-09,9,3,1
776398,2025-09-09,2,12,0
776393,2025-09-09,4,3,1
776402,2025-09-09,1,6,0
776388,2025-09-09,4,5,0
776395,2025-09-09,5,4,1
776390,2025-09-09,12,2,1
776392,2025-09-09,2,4,0
776391,2025-09-09,5,3,1
776394,2025-09-09,5,3,1
776396,2025-09-09,0,6,0
776389,2025-09-09,7,2,1
776375,2025-09-10,6,3,1
776379,2025-09-10,5,4,1
776374,2025-09-10,3,5,0
776376,2025-09-10,4,3,1
776387,2025-09-10,2,1,1
776382,2025-09-10,3,4,0
776386,2025-09-10,8,3,1
776384,2025-09-10,11,3,1
776383,2025-09-10,1,11,0
776385,2025-09-10,2,3,0
776381,2025-09-10,2,3,0
776378,2025-09-10,6,5,1
776377,2025-09-10,1,2,0
776373,2025-09-10,4,2,1
776380,2025-09-10,9,0,1
776372,2025-09-11,3,2,1
776364,2025-09-11,5,1,1
776369,2025-09-11,6,0,1
776367,2025-09-11,5,0,1
776368,2025-09-11,9,3,1
776370,2025-09-11,3,2,1
776371,2025-09-11,6,4,1
776365,2025-09-11,2,0,1
776362,2025-09-11,7,6,1
776352,2025-09-12,6,4,1
776351,2025-09-12,6,5,1
776354,2025-09-12,8,2,1
776353,2025-09-12,6,1,1
776359,2025-09-12,3,8,0
776361,2025-09-12,4,0,1
776366,2025-09-12,8,2,1
776363,2025-09-12,1,4,0
776360,2025-09-12,3,11,0
776355,2025-09-12,9,8,1
776356,2025-09-12,8,2,1
776357,2025-09-12,2,4,0
776358,2025-09-12,3,0,1
776345,2025-09-12,2,1,1
776350,2025-09-12,5,1,1
776338,2025-09-13,4,5,0
776343,2025-09-13,5,4,1
776336,2025-09-13,1,5,0
776349,2025-09-13,2,3,0
776347,2025-09-13,6,4,1
776344,2025-09-13,3,5,0
776342,2025-09-13,8,6,1
776348,2025-09-13,3,1,1
776337,2025-09-13,2,5,0
776346,2025-09-13,2,6,0
776339,2025-09-13,9,8,1
776341,2025-09-13,11,3,1
776328,2025-09-13,7,13,0
776333,2025-09-13,5,3,1
776340,2025-09-13,11,5,1
776320,2025-09-14,4,3,1
776334,2025-09-14,3,10,0
776329,2025-09-14,8,3,1
776322,2025-09-14,11,2,1
776335,2025-09-14,5,2,1
776331,2025-09-14,3,2,1
776332,2025-09-14,0,2,0
776324,2025-09-14,4,6,0
776326,2025-09-14,2,3,0
776321,2025-09-14,4,3,1
776327,2025-09-14,7,4,1
776325,2025-09-14,2,10,0
776323,2025-09-14,9,6,1
776317,2025-09-14,11,2,1
776330,2025-09-14,6,4,1
776318,2025-09-15,0,4,0
776315,2025-09-15,3,11,0
776316,2025-09-15,1,2,0
776314,2025-09-15,1,4,0
776313,2025-09-15,7,0,1
776312,2025-09-15,6,11,0
776319,2025-09-15,6,3,1
776309,2025-09-15,8,1,1
776311,2025-09-15,5,6,0
777825,2025-09-16,3,6,0
776307,2025-09-16,0,5,0
776303,2025-09-16,5,7,0
776308,2025-09-16,1,4,0
776310,2025-09-16,1,2,0
776304,2025-09-16,8,3,1
776305,2025-09-16,5,6,0
776302,2025-09-16,5,12,0
776306,2025-09-16,7,8,0
776298,2025-09-16,9,10,0
776295,2025-09-16,9,2,1
776300,2025-09-16,3,0,1
776301,2025-09-16,6,5,1
776293,2025-09-16,5,6,0
776294,2025-09-16,6,5,1
776297,2025-09-16,6,9,0
776287,2025-09-17,4,8,0
776283,2025-09-17,2,6,0
776285,2025-09-17,1,3,0
776279,2025-09-17,1,5,0
776286,2025-09-17,4,9,0
776296,2025-09-17,0,4,0
776299,2025-09-17,5,4,1
776290,2025-09-17,2,1,1
776288,2025-09-17,4,7,0
776289,2025-09-17,7,5,1
776284,2025-09-17,5,10,0
776291,2025-09-17,9,2,1
776292,2025-09-17,5,2,1
776277,2025-09-17,4,8,0
776280,2025-09-17,5,0,1
776275,2025-09-18,1,3,0
776276,2025-09-18,6,1,1
776269,2025-09-18,4,0,1
776281,2025-09-18,3,5,0
776272,2025-09-18,0,2,0
776270,2025-09-18,7,9,0
776282,2025-09-18,1,0,1
776278,2025-09-18,0,7,0
776274,2025-09-18,5,2,1
776271,2025-09-18,2,1,1
776267,2025-09-19,7,4,1
776266,2025-09-19,3,4,0
776268,2025-09-19,1,10,0
776273,2025-09-19,4,2,1
776259,2025-09-19,12,6,1
776261,2025-09-19,7,11,0
776260,2025-09-19,20,1,1
776264,2025-09-19,4,3,1
776251,2025-09-19,4,6,0
776253,2025-09-19,7,6,1
776262,2025-09-19,0,4,0
776263,2025-09-19,2,6,0
776265,2025-09-19,7,1,1
776255,2025-09-19,2,8,0
776256,2025-09-19,6,3,1
776258,2025-09-20,5,6,0
777839,2025-09-20,0,6,0
776243,2025-09-20,0,8,0
776252,2025-09-20,3,5,0
776254,2025-09-20,6,3,1
776249,2025-09-20,2,0,1
776247,2025-09-20,3,6,0
776242,2025-09-20,3,4,0
776257,2025-09-20,1,6,0
776248,2025-09-20,4,6,0
776245,2025-09-20,2,1,1
776250,2025-09-20,3,7,0
776244,2025-09-20,2,3,0
776241,2025-09-20,0,3,0
776246,2025-09-20,4,3,1
776233,2025-09-20,7,5,1
776238,2025-09-21,2,6,0
